practice,num_gps_june,num_gps_sept
C86022,5,5
C86023,7,7
C86024,10,10
C86025,1,1
C86026,2,2
C86029,8,8
C86030,1,1
C86032,2,2
C86033,3,3
C86034,,
C86037,11,11
C86038,8,8
C86039,3,3
C86605,3,3
C86606,2,2
C86609,2,2
C86611,6,6
C86613,3,3
C86614,5,5
C86616,,
C86621,2,2
C86623,1,1
C86625,1,1
C86626,1,1
C87002,20,20
C87003,3,3
C87004,10,10
C87005,13,14
C87006,1,1
C87007,7,7
C87008,9,8
C87009,6,6
C87010,1,1
C87012,11,10
C87013,5,5
C87014,5,5
C87015,5,5
C87016,7,7
C87017,6,6
C87018,4,5
C87020,8,8
C87022,6,6
C87023,1,1
C87024,2,2
C87029,11,9
C87030,9,9
C87031,1,1
C87603,2,2
C87604,1,1
C87606,2,2
C87608,3,3
C87616,1,1
C87620,3,3
C87621,2,2
C87622,5,5
C88005,7,7
C88006,4,4
C88007,15,15
C88008,12,12
C88009,6,6
C88010,18,16
C88011,6,6
C88014,5,5
C88015,12,14
C88016,8,8
C88018,5,5
C88019,7,6
C88020,5,6
C88021,3,3
C88022,3,3
C88023,5,5
C88024,3,3
C88025,7,7
C88026,8,8
C88027,8,8
C88028,7,7
C88030,4,4
C88031,8,8
C88032,4,4
C88033,4,4
C88034,8,7
C88035,12,12
C88036,6,6
C88037,6,6
C88038,11,11
C88039,8,7
C88040,5,5
C88041,9,9
C88042,4,4
C88043,9,9
C88044,6,5
C88045,9,9
C88046,2,2
C88047,6,6
C88048,4,4
C88049,6,6
C88050,3,3
C88051,8,8
C88052,6,6
C88053,2,2
C88054,7,6
C88057,1,1
C88059,1,1
C88060,3,3
C88062,3,3
C88068,3,3
C88069,13,13
C88070,10,10
C88072,15,16
C88073,7,6
C88074,4,4
C88076,7,7
C88077,3,3
C88078,7,7
C88079,7,6
C88082,2,2
C88083,3,3
C88084,2,2
C88085,10,10
C88086,3,3
C88087,11,11
C88088,7,7
C88090,4,4
C88091,2,2
C88092,7,7
C88095,8,7
C88096,7,7
C88622,1,1
C88627,11,11
C88631,1,1
C88643,2,2
C88647,4,4
C88648,7,9
C88652,4,4
C88655,1,1
C88656,2,2
D81001,9,9
D81002,8,8
D81003,10,10
D81004,7,8
D81005,8,8
D81007,4,2
D81008,5,5
D81009,8,8
D81010,7,7
D81011,8,8
D81012,11,11
D81013,12,12
D81014,12,12
D81015,3,3
D81016,8,8
D81017,5,5
D81018,5,5
D81019,1,1
D81020,6,7
D81021,6,6
D81022,6,7
D81023,5,5
D81024,5,5
D81025,7,7
D81026,20,18
D81027,6,6
D81028,6,8
D81029,8,8
D81030,6,6
D81031,10,10
D81032,7,9
D81033,5,4
D81034,17,17
D81035,7,8
D81036,3,3
D81037,6,6
D81038,7,7
D81039,5,5
D81040,1,1
D81041,4,4
D81042,4,
D81043,,
D81044,13,10
D81045,6,6
D81046,12,12
D81047,3,3
D81049,7,7
D81050,7,8
D81051,7,7
D81052,7,5
D81053,4,4
D81054,11,13
D81055,8,8
D81056,6,5
D81057,9,9
D81058,4,4
D81059,6,6
D81060,5,5
D81061,10,10
D81062,6,6
D81063,4,4
D81064,3,3
D81065,5,4
D81066,7,7
D81070,8,8
D81071,5,5
D81073,4,4
D81074,3,3
D81078,2,2
D81081,2,3
D81082,3,3
D81084,4,4
D81085,5,6
D81086,6,6
D81087,5,5
D81602,3,3
D81603,3,3
D81605,2,2
D81606,3,3
D81607,2,2
D81611,,
D81612,3,3
D81615,4,4
D81616,2,2
D81618,5,4
D81619,5,4
D81622,7,7
D81623,2,2
D81624,4,4
D81625,10,10
D81629,2,2
D81630,6,6
D81631,6,5
D81633,7,7
D81637,6,6
D81645,1,1
D82001,12,12
D82002,9,8
D82003,3,3
D82004,5,5
D82005,8,7
D82006,7,7
D82007,15,22
D82008,9,7
D82009,5,7
D82010,3,3
D82011,12,12
D82012,8,8
D82013,2,2
D82015,,
D82016,10,7
D82017,8,8
D82018,4,4
D82019,8,8
D82020,7,7
D82022,4,4
D82023,7,7
D82024,3,3
D82025,6,6
D82026,6,6
D82027,6,6
D82028,5,5
D82029,9,9
D82030,4,4
D82031,5,5
D82032,9,5
D82034,10,8
D82035,7,7
D82036,7,7
D82037,7,7
D82038,2,2
D82039,8,8
D82040,11,11
D82041,9,11
D82042,6,7
D82043,5,5
D82044,20,20
D82045,15,15
D82046,1,1
D82047,8,8
D82048,6,6
D82049,,
D82050,3,3
D82051,12,11
D82053,5,5
D82054,11,11
D82056,4,5
D82057,7,7
D82058,11,11
D82059,6,6
D82060,3,4
D82062,6,6
D82063,11,11
D82064,11,11
D82065,,
D82066,7,8
D82067,8,8
D82068,5,6
D82069,2,2
D82070,5,5
D82071,8,8
D82072,4,4
D82073,5,5
D82076,6,6
D82078,6,5
D82079,5,4
D82080,5,5
D82081,2,2
D82084,3,3
D82085,6,6
D82087,6,6
D82088,13,13
D82096,5,5
D82099,13,13
D82100,3,3
D82104,6,6
D82105,4,4
D82106,3,3
D82600,1,1
D82604,5,5
D82613,6,6
D82618,,
D82621,2,2
D82624,1,1
D82628,3,3
D83001,4,4
D83002,9,9
D83003,6,6
D83004,5,5
D83005,11,10
D83006,3,3
D83007,6,6
D83008,8,7
D83009,10,7
D83010,5,5
D83011,9,10
D83012,9,9
D83013,10,11
D83014,,
D83015,5,5
D83016,7,7
D83017,7,8
D83018,12,12
D83019,5,5
D83020,,
D83021,5,5
D83022,3,3
D83023,4,4
D83024,6,6
D83026,6,6
D83027,9,9
D83028,6,6
D83029,13,13
D83030,,
D83033,8,8
D83034,8,8
D83035,7,7
D83036,6,6
D83037,10,10
D83038,10,10
D83039,7,6
D83040,8,8
D83041,6,6
D83043,3,3
D83044,12,12
D83045,4,4
D83046,10,13
D83047,8,9
D83048,7,6
D83049,5,5
D83050,5,5
D83051,12,12
D83053,9,8
D83054,4,4
D83055,9,9
D83056,3,2
D83057,7,9
D83058,4,4
D83059,6,7
D83060,14,14
D83061,5,5
D83062,8,8
D83064,2,2
D83067,5,5
D83069,3,3
D83070,4,4
D83073,3,4
D83074,10,10
D83075,5,4
D83076,3,3
D83078,1,2
D83079,4,4
D83080,3,3
D83081,4,4
D83082,2,2
D83084,5,5
D83608,4,4
D83610,10,10
D83615,2,3
E81001,1,1
E81002,6,6
E81003,15,11
E81004,5,5
E81005,5,5
E81006,5,5
E81007,4,4
E81008,6,6
E81009,7,6
E81010,5,5
E81011,9,9
E81012,7,7
E81013,6,4
E81014,6,6
E81015,9,9
E81016,3,3
E81017,6,6
E81018,5,5
E81019,10,9
E81021,6,7
E81022,7,7
E81023,1,1
E81024,4,4
E81025,2,2
E81026,3,4
E81027,5,5
E81028,6,6
E81029,10,10
E81030,6,4
E81031,3,3
E81032,5,5
E81033,9,9
E81034,4,3
E81035,2,2
E81036,10,7
E81037,7,8
E81038,14,14
E81040,5,6
E81041,3,3
E81043,1,1
E81044,10,5
E81045,4,4
E81046,6,6
E81047,7,8
E81048,10,13
E81049,3,3
E81050,8,8
E81052,4,4
E81054,1,1
E81056,2,2
E81057,6,6
E81059,3,4
E81060,2,2
E81061,4,4
E81062,3,3
E81063,5,5
E81064,3,3
E81065,3,3
E81069,5,5
E81073,7,5
E81074,9,10
E81075,5,
E81076,2,3
E81077,2,2
E81611,1,1
E81612,3,3
E81615,1,1
E81617,1,1
E81631,3,3
E81632,3,3
E81633,2,2
E81635,3,3
E82001,11,14
E82002,6,6
E82004,2,
E82005,9,10
E82006,6,6
E82007,5,5
E82008,7,7
E82009,7,7
E82012,8,11
E82013,8,8
E82014,9,9
E82015,6,6
E82017,6,6
E82018,7,9
E82019,11,11
E82020,,
E82021,3,3
E82022,10,10
E82023,6,6
E82024,6,6
E82025,13,13
E82027,13,13
E82028,6,6
E82031,14,14
E82032,13,15
E82034,5,5
E82035,7,7
E82037,10,10
E82038,6,5
E82039,6,6
E82040,7,7
E82041,5,5
E82042,5,5
E82043,9,9
E82044,13,15
E82045,5,5
E82046,7,7
E82048,5,5
E82049,4,4
E82050,3,3
E82051,,
E82053,5,6
E82054,7,6
E82055,8,8
E82056,5,5
E82057,3,3
E82058,8,8
E82059,4,4
E82060,13,13
E82061,7,8
E82062,9,9
E82063,5,5
E82064,4,5
E82066,1,1
E82067,7,7
E82068,8,8
E82069,2,2
E82070,3,3
E82071,7,8
E82072,6,10
E82073,8,8
E82074,12,12
E82075,10,10
E82076,4,4
E82077,6,6
E82078,8,
E82079,3,3
E82080,7,6
E82081,8,8
E82082,11,11
E82083,11,11
E82084,11,10
E82085,7,7
E82086,11,11
E82088,8,10
E82089,8,7
E82090,6,6
E82091,10,10
E82092,7,9
E82093,9,9
E82094,4,4
E82095,7,7
E82096,5,5
E82098,6,6
E82099,8,9
E82100,9,9
E82102,7,8
E82104,2,3
E82105,2,2
E82106,7,9
E82107,5,6
E82109,3,3
E82111,2,2
E82113,3,3
E82115,5,5
E82117,6,6
E82121,2,2
E82123,6,7
E82124,,
E82126,5,2
E82129,,
E82130,7,6
E82131,2,2
E82132,5,5
E82133,3,3
E82603,3,3
E82613,3,3
E82620,1,1
E82626,4,4
E82627,1,1
E82630,4,4
E82638,4,4
E82640,4,5
E82641,6,6
E82643,4,4
E82644,1,1
E82652,2,2
E82654,3,2
E82655,2,2
E82656,2,2
E82657,3,3
E82661,2,2
E82663,1,
E83003,7,7
E83005,5,5
E83006,4,4
E83007,4,4
E83008,6,6
E83009,9,9
E83010,7,7
E83011,7,7
E83012,4,4
E83013,4,4
E83016,14,14
E83017,7,7
E83018,11,11
E83020,6,6
E83021,8,8
E83024,9,9
E83025,6,6
E83026,3,3
E83027,6,5
E83028,4,5
E83030,4,4
E83031,3,3
E83032,10,11
E83034,2,2
E83035,5,4
E83036,2,2
E83037,5,5
E83038,6,6
E83039,5,5
E83041,3,3
E83042,1,1
E83044,4,4
E83045,5,6
E83046,5,5
E83049,5,5
E83050,3,3
E83053,13,11
E83600,4,4
E83613,,
E83621,5,5
E83622,5,6
E83624,1,1
E83629,,
E83631,3,3
E83632,,
E83633,2,2
E83637,2,2
E83638,4,4
E83639,5,5
E83644,1,1
E83649,2,2
E83650,1,1
E83653,4,4
E83654,3,3
E83656,2,1
E83657,1,1
E83658,,
E83668,2,2
E84002,6,6
E84003,3,3
E84004,5,5
E84005,4,4
E84006,9,9
E84007,3,3
E84008,,
E84009,8,8
E84011,,
E84012,4,4
E84013,5,5
E84014,7,7
E84015,10,10
E84017,5,5
E84018,5,5
E84020,2,2
E84021,8,8
E84022,4,4
E84023,3,3
E84024,26,26
E84025,7,7
E84026,4,4
E84028,4,4
E84029,2,3
E84030,,4
E84031,6,6
E84032,7,7
E84033,5,5
E84036,5,2
E84039,7,7
E84040,4,4
E84042,,
E84044,8,8
E84048,10,
E84049,4,4
E84051,7,8
E84053,3,3
E84057,,
E84058,11,11
E84059,,
E84061,8,7
E84062,3,3
E84063,2,2
E84066,3,3
E84067,6,7
E84068,11,11
E84069,9,9
E84070,3,3
E84074,4,4
E84075,,
E84076,4,4
E84077,2,2
E84078,5,8
E84080,6,6
E84083,7,7
E84086,4,4
E84601,6,6
E84617,4,4
E84620,4,4
E84624,3,3
E84626,2,2
E84635,4,4
E84637,3,3
E84638,3,3
E84645,3,3
E84646,4,4
E84647,2,2
E84653,2,2
E84656,3,3
E84657,2,2
E84658,3,4
E84663,6,6
E84665,1,1
E84667,4,4
E84669,4,3
E84674,2,2
E84676,2,2
E84678,5,5
E84680,2,2
E84681,3,3
E84684,2,2
E84685,5,5
E84690,3,3
E84693,5,5
E84696,,
E84699,,1
E84701,4,4
E84702,3,3
E84704,2,2
E84705,2,2
E84709,,
E84713,1,1
E85001,4,4
E85003,15,14
E85004,,
E85005,2,1
E85006,2,2
E85007,6,6
E85008,7,7
E85012,2,2
E85013,3,3
E85014,5,5
E85015,5,5
E85016,7,10
E85018,,
E85019,6,6
E85020,19,19
E85021,4,4
E85023,1,1
E85024,4,4
E85025,3,3
E85026,11,11
E85028,6,6
E85029,10,10
E85030,5,5
E85032,,
E85033,6,6
E85034,4,4
E85035,3,3
E85038,2,2
E85040,6,7
E85041,2,2
E85042,2,2
E85044,,
E85045,3,4
E85046,4,4
E85048,4,4
E85049,,
E85050,4,5
E85051,5,5
E85052,2,2
E85053,,
E85054,7,
E85055,6,6
E85056,3,3
E85057,6,6
E85058,4,4
E85059,3,3
E85060,7,7
E85061,,
E85062,,
E85064,3,3
E85066,3,3
E85069,3,3
E85071,1,1
E85074,2,2
E85075,4,4
E85077,2,2
E85083,6,6
E85088,3,3
E85090,4,4
E85091,1,1
E85096,3,3
E85098,1,1
E85099,1,1
E85103,2,2
E85105,2,2
E85107,7,7
E85108,2,2
E85109,2,2
E85110,3,3
E85111,2,2
E85112,2,2
E85113,5,5
E85114,8,7
E85115,,
E85116,3,3
E85117,5,5
E85118,5,5
E85119,3,3
E85120,14,14
E85121,5,5
E85122,9,9
E85123,10,10
E85124,10,10
E85125,4,4
E85126,2,2
E85127,6,6
E85128,9,9
E85129,5,5
E85130,4,4
E85600,4,4
E85605,7,7
E85617,4,4
E85623,3,3
E85624,,6
E85625,4,4
E85628,6,6
E85630,1,1
E85633,3,3
E85635,3,3
E85636,4,12
E85640,2,2
E85643,2,2
E85649,2,2
E85656,2,2
E85657,6,6
E85658,5,5
E85659,5,5
E85663,2,2
E85672,1,1
E85673,,
E85677,6,6
E85680,8,10
E85681,5,5
E85682,4,3
E85683,2,2
E85685,4,4
E85686,,
E85687,1,1
E85692,6,6
E85693,6,6
E85694,3,3
E85696,4,4
E85697,3,3
E85699,2,2
E85700,,
E85707,4,4
E85708,3,3
E85712,2,2
E85713,5,5
E85714,3,3
E85715,3,3
E85716,6,6
E85718,4,4
E85719,5,5
E85721,1,1
E85723,2,2
E85725,4,5
E85726,1,1
E85727,2,2
E85733,1,1
E85734,,6
E85735,2,2
E85736,7,7
E85739,,
E85740,2,1
E85743,1,1
E85744,2,3
E85745,4,4
E85746,2,2
E85748,4,4
E85750,4,4
E86001,10,
E86003,2,2
E86004,2,2
E86005,7,7
E86006,6,6
E86007,7,7
E86009,5,6
E86010,3,3
E86011,3,3
E86012,6,6
E86014,2,3
E86015,8,8
E86016,2,2
E86017,6,6
E86018,4,4
E86019,5,5
E86020,3,3
E86022,6,6
E86024,3,3
E86026,4,4
E86027,6,6
E86028,3,3
E86029,7,7
E86030,4,4
E86033,5,5
E86034,,
E86036,4,4
E86038,4,4
E86041,,4
E86042,4,4
E86605,2,2
E86609,3,3
E86610,1,1
E86612,4,4
E86615,3,3
E86618,5,5
E86619,4,4
E86620,1,1
E86625,3,3
E86626,3,3
E86629,1,1
E86632,1,1
E86637,4,4
E86640,3,3
E87002,12,12
E87003,2,3
E87004,,
E87005,3,3
E87006,,
E87007,4,4
E87008,11,11
E87009,3,3
E87010,4,4
E87011,6,6
E87013,8,8
E87016,11,11
E87021,3,3
E87024,4,4
E87026,2,2
E87029,,
E87034,13,9
E87037,5,5
E87038,3,3
E87043,4,4
E87045,1,1
E87046,5,5
E87047,3,3
E87048,3,3
E87050,,
E87052,,
E87057,3,3
E87061,5,5
E87063,6,6
E87065,3,3
E87066,6,7
E87067,6,6
E87069,3,3
E87070,,
E87609,7,7
E87637,8,8
E87648,3,3
E87663,4,4
E87665,3,4
E87677,8,7
E87681,6,6
E87682,4,4
E87694,1,1
E87701,5,
E87702,1,1
E87706,3,3
E87714,2,2
E87715,8,8
E87720,6,6
E87722,2,2
E87733,,
E87735,1,1
E87737,6,6
E87738,11,11
E87739,3,3
E87740,4,5
E87741,2,2
E87742,1,1
E87745,4,3
E87746,2,2
E87750,3,3
E87751,1,1
E87753,4,4
E87754,9,8
E87755,,
E87756,3,3
E87762,2,2
E87768,,11
E87772,3,3
F81001,11,12
F81003,2,2
F81004,7,7
F81006,2,2
F81007,6,7
F81009,6,9
F81010,5,5
F81011,5,5
F81012,6,6
F81013,5,5
F81014,,
F81015,9,9
F81016,1,1
F81017,3,3
F81018,2,2
F81019,9,13
F81020,8,7
F81021,6,6
F81022,10,10
F81023,6,6
F81024,2,2
F81025,4,4
F81026,1,1
F81027,,
F81028,3,3
F81029,2,2
F81030,8,8
F81031,4,4
F81032,3,3
F81034,6,6
F81035,4,4
F81036,7,
F81037,5,5
F81038,7,7
F81040,4,4
F81041,4,4
F81042,17,17
F81043,12,12
F81044,5,6
F81045,3,3
F81046,4,6
F81047,7,8
F81048,5,5
F81049,8,8
F81051,2,2
F81052,6,7
F81053,20,6
F81055,7,7
F81056,5,5
F81057,5,6
F81060,3,3
F81061,1,1
F81062,7,7
F81065,2,2
F81066,7,7
F81067,8,8
F81068,12,12
F81069,4,4
F81070,2,2
F81071,7,7
F81072,1,1
F81073,3,3
F81074,6,7
F81075,6,6
F81076,2,2
F81078,5,5
F81079,6,6
F81080,7,7
F81081,20,24
F81082,5,5
F81083,11,11
F81084,2,2
F81085,6,7
F81086,4,4
F81087,9,9
F81088,1,1
F81089,5,7
F81090,7,7
F81091,5,5
F81092,2,2
F81094,,
F81095,9,9
F81096,5,7
F81097,10,10
F81098,6,6
F81099,6,6
F81100,13,13
F81101,1,1
F81102,4,4
F81104,4,4
F81105,10,10
F81106,7,7
F81108,7,7
F81109,5,5
F81110,,
F81111,4,4
F81112,6,6
F81113,6,6
F81114,7,8
F81115,7,7
F81116,4,3
F81117,2,2
F81118,12,14
F81119,3,3
F81120,7,6
F81121,3,3
F81123,20,
F81125,7,7
F81126,5,5
F81127,5,6
F81128,11,11
F81130,2,2
F81131,5,6
F81132,,
F81133,4,4
F81134,4,4
F81136,,
F81137,5,5
F81138,4,4
F81141,7,7
F81142,5,6
F81144,14,14
F81147,5,5
F81149,8,8
F81150,3,3
F81151,4,3
F81152,6,6
F81153,8,9
F81155,2,2
F81156,1,1
F81157,3,3
F81158,1,1
F81159,2,2
F81163,4,4
F81164,6,6
F81165,3,3
F81168,4,4
F81169,8,7
F81170,2,2
F81173,2,2
F81176,2,2
F81177,3,3
F81181,6,6
F81183,2,3
F81184,3,4
F81186,2,2
F81192,6,6
F81193,2,2
F81195,1,1
F81197,3,3
F81198,2,2
F81200,3,3
F81205,3,3
F81206,4,4
F81207,1,1
F81209,4,4
F81211,2,2
F81212,2,2
F81213,4,4
F81215,5,5
F81216,5,4
F81218,2,2
F81219,2,2
F81221,3,3
F81222,4,4
F81223,4,4
F81606,2,2
F81608,3,3
F81613,5,5
F81618,2,2
F81619,2,2
F81622,1,1
F81623,1,1
F81632,1,1
F81633,2,2
F81635,1,1
F81636,7,7
F81639,1,1
F81640,,
F81641,1,1
F81644,,
F81645,5,5
F81648,,
F81649,3,2
F81651,2,3
F81652,1,1
F81656,2,2
F81665,3,3
F81666,2,2
F81669,2,2
F81670,2,2
F81674,2,2
F81675,2,2
F81679,3,3
F81681,4,4
F81683,4,4
F81684,1,1
F81688,2,2
F81690,2,2
F81691,3,3
F81695,,
F81696,2,2
F81697,2,2
F81698,,
F81700,2,2
F81704,1,1
F81707,1,1
F81708,1,1
F81711,2,2
F81713,2,2
F81716,4,4
F81718,4,4
F81720,1,1
F81721,4,4
F81724,4,4
F81725,5,5
F81729,4,4
F81730,3,3
F81732,3,3
F81733,1,1
F81737,2,2
F81738,1,1
F81739,2,2
F81740,1,1
F81741,1,1
F81743,3,3
F81744,2,2
F81746,1,3
F81749,2,3
F81751,1,1
F81755,1,1
F81756,2,2
F81757,3,2
F81758,3,2
F82001,,
F82002,4,4
F82003,1,1
F82005,4,4
F82006,5,5
F82007,6,6
F82008,8,9
F82009,9,9
F82010,10,10
F82011,6,6
F82012,2,2
F82013,12,13
F82014,5,4
F82015,2,2
F82016,5,5
F82017,4,8
F82018,5,5
F82019,3,3
F82021,3,3
F82022,5,5
F82023,1,1
F82025,,
F82027,1,1
F82028,,
F82030,4,4
F82031,4,5
F82033,2,2
F82034,4,4
F82038,3,3
F82039,3,3
F82040,,
F82042,4,4
F82045,1,1
F82051,6,6
F82053,4,3
F82055,2,2
F82604,,
F82607,2,3
F82609,,2
F82610,2,2
F82612,3,3
F82614,1,1
F82619,1,1
F82621,1,1
F82624,2,2
F82625,3,5
F82627,,
F82630,3,3
F82634,2,2
F82638,,
F82639,2,2
F82642,2,3
F82647,5,5
F82648,1,1
F82649,,
F82650,,
F82653,2,2
F82660,8,8
F82661,2,2
F82663,1,1
F82665,3,3
F82666,2,3
F82668,,
F82670,3,2
F82671,2,2
F82674,4,3
F82675,2,2
F82676,3,4
F82677,7,7
F82678,2,2
F82679,4,4
F82680,4,4
F82686,1,1
F83002,8,8
F83003,7,7
F83004,3,3
F83005,4,4
F83006,8,8
F83007,4,4
F83008,10,10
F83010,6,6
F83011,5,5
F83012,8,9
F83015,11,15
F83017,16,16
F83018,10,9
F83019,10,10
F83020,7,7
F83021,9,9
F83022,12,12
F83023,22,17
F83025,4,4
F83027,5,5
F83032,8,8
F83033,1,1
F83034,1,1
F83039,5,5
F83042,4,4
F83043,8,8
F83044,6,6
F83045,6,6
F83048,,
F83050,2,2
F83051,2,2
F83052,2,2
F83053,5,5
F83055,7,7
F83056,3,3
F83057,8,7
F83058,12,10
F83059,18,18
F83060,6,6
F83061,6,6
F83063,8,8
F83064,8,8
F83615,6,6
F83623,12,12
F83624,8,8
F83632,,11
F83633,3,3
F83635,4,4
F83652,13,13
F83658,4,4
F83660,5,5
F83664,3,3
F83665,9,9
F83666,6,6
F83671,2,2
F83672,7,7
F83673,3,3
F83674,3,3
F83677,1,1
F83678,2,2
F83680,3,3
F83681,6,6
F83682,2,2
F83683,,
F83686,2,2
F84003,20,21
F84004,7,7
F84006,5,5
F84008,11,12
F84009,9,8
F84010,5,5
F84012,6,6
F84013,12,12
F84014,3,3
F84015,4,4
F84016,12,12
F84017,7,7
F84018,11,11
F84021,,
F84022,5,5
F84025,3,3
F84030,3,3
F84031,12,13
F84033,11,11
F84034,11,14
F84035,3,3
F84036,4,4
F84038,3,3
F84039,4,4
F84041,3,3
F84043,6,6
F84044,6,6
F84046,2,
F84047,7,7
F84050,7,7
F84051,4,4
F84052,8,8
F84053,8,7
F84054,10,10
F84055,2,2
F84060,2,2
F84062,11,11
F84063,8,8
F84069,10,10
F84070,3,3
F84072,5,5
F84074,6,6
F84077,3,5
F84079,,
F84080,3,3
F84081,6,5
F84083,6,6
F84086,6,6
F84087,5,5
F84088,4,4
F84089,1,1
F84091,2,2
F84092,5,5
F84093,8,8
F84096,18,20
F84097,8,9
F84105,6,6
F84111,4,4
F84114,3,3
F84115,9,9
F84117,6,6
F84118,4,4
F84119,9,11
F84121,9,9
F84122,17,19
F84123,9,9
F84124,4,4
F84601,7,7
F84619,2,2
F84620,4,4
F84621,3,3
F84624,3,3
F84631,2,2
F84632,3,3
F84635,,
F84636,2,2
F84640,9,5
F84641,1,1
F84642,2,2
F84647,,
F84656,,
F84657,1,1
F84658,7,7
F84660,2,2
F84661,2,2
F84666,2,2
F84668,3,3
F84669,5,5
F84670,4,4
F84671,5,5
F84672,3,4
F84673,1,1
F84676,3,3
F84677,2,2
F84679,1,1
F84681,2,2
F84682,,
F84685,3,3
F84686,4,4
F84692,4,4
F84694,3,3
